Datetime,open,high,low,close,Adj Close,Volume,candlestick_pattern,candlestick_match_count,signal
2021-08-09 13:10:00+08:00,26391.970703125,26398.4609375,26350.630859375,26350.630859375,26350.630859375,0,CDLCLOSINGMARUBOZU_Bear,1.0,Sell
2021-08-09 13:15:00+08:00,26353.009765625,26355.58984375,26329.890625,26351.05078125,26351.05078125,0,CDLMATCHINGLOW_Bull,10.0,Buy
2021-08-09 13:20:00+08:00,26350.359375,26366.220703125,26342.16015625,26347.69921875,26347.69921875,0,CDLRICKSHAWMAN_Bull,5.0,Buy
2021-08-09 13:25:00+08:00,26346.33984375,26393.98046875,26345.240234375,26383.23046875,26383.23046875,0,CDLBELTHOLD_Bull,2.0,Buy
2021-08-09 13:30:00+08:00,26379.130859375,26382.439453125,26367.619140625,26376.48046875,26376.48046875,0,CDLRICKSHAWMAN_Bull,6.0,Buy
2021-08-09 13:35:00+08:00,26375.259765625,26415.30078125,26373.939453125,26412.099609375,26412.099609375,0,CDLBELTHOLD_Bull,3.0,Buy
2021-08-09 13:40:00+08:00,26416.98046875,26416.98046875,26376.69921875,26377.380859375,26377.380859375,0,CDLDARKCLOUDCOVER_Bear,4.0,Sell
2021-08-09 13:45:00+08:00,26376.330078125,26391.5703125,26359.69921875,26384.240234375,26384.240234375,0,CDLTHRUSTING_Bear,1.0,Sell
2021-08-09 13:50:00+08:00,26387.259765625,26392.380859375,26375.400390625,26386.109375,26386.109375,0,CDLRICKSHAWMAN_Bull,5.0,Buy
2021-08-09 13:55:00+08:00,26387.470703125,26387.470703125,26359.150390625,26374.080078125,26374.080078125,0,CDLHAMMER_Bull,1.0,Buy
2021-08-09 14:00:00+08:00,26373.51953125,26375.05078125,26355.25,26363.08984375,26363.08984375,0,NO_PATTERN,0.0,None
2021-08-09 14:05:00+08:00,26363.08984375,26378.0390625,26360.05078125,26369.55078125,26369.55078125,0,NO_PATTERN,0.0,None
2021-08-09 14:10:00+08:00,26370.849609375,26371.880859375,26339.05078125,26340.23046875,26340.23046875,0,CDLCLOSINGMARUBOZU_Bear,4.0,Sell
2021-08-09 14:15:00+08:00,26343.2890625,26350.23046875,26323.400390625,26332.830078125,26332.830078125,0,CDL3OUTSIDE_Bear,1.0,Sell
2021-08-09 14:20:00+08:00,26331.33984375,26335.5703125,26303.490234375,26303.490234375,26303.490234375,0,CDLCLOSINGMARUBOZU_Bear,1.0,Sell
2021-08-09 14:25:00+08:00,26299.599609375,26299.859375,26271.759765625,26298.5390625,26298.5390625,0,CDLLONGLEGGEDDOJI_Bull,6.0,Buy
2021-08-09 14:30:00+08:00,26299.73046875,26313.759765625,26281.759765625,26292.140625,26292.140625,0,CDLSPINNINGTOP_Bear,1.0,Sell
2021-08-09 14:35:00+08:00,26289.419921875,26295.900390625,26279.470703125,26292.640625,26292.640625,0,CDLSPINNINGTOP_Bull,1.0,Buy
2021-08-09 14:40:00+08:00,26294.390625,26306.1796875,26277.259765625,26285.94921875,26285.94921875,0,CDLSPINNINGTOP_Bear,2.0,Sell
2021-08-09 14:45:00+08:00,26285.5703125,26292.73046875,26269.5,26277.349609375,26277.349609375,0,CDL3OUTSIDE_Bear,1.0,Sell
2021-08-09 14:50:00+08:00,26277.5390625,26326.880859375,26277.5390625,26305.16015625,26305.16015625,0,CDLBELTHOLD_Bull,1.0,Buy
2021-08-09 14:55:00+08:00,26306.5703125,26308.560546875,26274.44921875,26275.849609375,26275.849609375,0,CDLCLOSINGMARUBOZU_Bear,4.0,Sell
